Artist,Gender
Sister Sledge,band
Seal,man
Dwele,man
Public Announcement,band
Sammie,man
Uncle Sam,woman
Travis Tritt,man
Liam Payne,man
N2Deep,band
Debelah Morgan,woman
Ike & Tina Turner,band
Tyrese,man
The Friends Of Distinction,band
Curtis Mayfield,man
Billy Idol,man
John Denver,man
Wiz Khalifa,man
Heavy D & The Boyz,man
Looking Glass,band
Desiigner,man
Tory Lanez,man
Major Lazer,band
Sweet,man
Information Society,band
The Winstons,band
Nf,man
Olivia,woman
Three 6 Mafia,band
40 Thevz,band
Shawn Mendes,man
Donny & Marie Osmond,band
Crazy Elephant,band
Walter Murphy & The Big Apple Band,man
Honey Cone,band
Julian Lennon,man
Audioslave,band
Luke Bryan,man
Method Man,man
Capital Cities,band
Gnash,man
Bad Meets Evil,band
Creedence Clearwater Revival,band
"Peter, Paul And Mary",band
Charles & Eddie,band
Fall Out Boy,band
Everclear,band
Rich The Kid,man
Climax,man
Mark Ronson,man
Gladys Knight & The Pips,band
Matthews Southern Comfort,band
Chicago,man
Marcy Playground,band
Baltimora,band
Hinder,band
Ray J,man
The Sandpipers,band
Adam Lambert,man
Kelis,woman
The Knack,band
Silver Convention,band
José Feliciano,man
Dan Hartman,man
Gayle,woman
The Brothers Johnson,band
Metallica,band
Silk Sonic,band
David Kushner,man
Cameo,band
Scott Mckenzie,man
Little Big Town,band
Far East Movement,band
Yeat,man
Steve Winwood,man
Young Money,man
Randy Vanwarmer,man
The Mamas & The Papas,band
Bert Kaempfert,man
Benson Boone,man
Lauv,man
Morgan Wallen,man
Ssgt Barry Sadler,man
The Neighbourhood,band
Jordan Knight,man
Teddy Swims,man
Sweet Sensation,band
Deep Blue Something,band
Carl Thomas,man
Twenty One Pilots,band
Lobo,man
Ocean,band
Patrick Swayze,man
Ruben Studdard,man
Mocedades,band
Az,man
John Mayer,man
Frankie Valli,man
Lulu,woman
Sexyy Red,woman
Kris Kross,band
Blues Image,band
Lauren Spencer-Smith,woman
Oasis,band
Ray Charles,man
Pop Smoke,man
Rythm Syndicate,band
Archie Bell & The Drells,band
Wilson Pickett,man
Daniel Boone,man
Count Five,band
The Manhattan Transfer,band
Tommy Roe,man
Mickey Gilley,man
The Seekers,band
Jamie Walters,man
Jennifer Paige,woman
Bodeans,band
Barenaked Ladies,band
Bob Seger System,man
Trace Adkins,man
Brownstone,band
Lord David Dundas,man
Bill Withers,man
Pussycat Dolls,band
Keith Urban,man
Matthew Wilder,man
"Crosby, Stills, Nash & Young",band
Big Mountain,band
Marky Mark And The Funky Bunch,band
Awolnation,band
Georgie Fame,man
Miami Sound Machine,band
Schoolboy Q,man
Tesla,band
Atlantic Starr,band
Skylar Grey,woman
Juelz Santana,man
Bon Jovi,band
No Doubt,band
Christina Milian,woman
American Authors,band
Keri Hilson,woman
Simon & Garfunkel,band
Nle Choppa,man
Cj,man
Del Amitri,band
Commodores,band
Jimmy Ray,man
Karol G,woman
Deon Estus,man
Ckay,man
Steve Holy,man
Bertie Higgins,man
David Guetta,man
Daryl Hall,man
Joshua Kadison,man
Cutting Crew,band
Flipmode Squad,band
The Undisputed Truth,band
Dido,man
Eden'S Crush,band
Sophie B. Hawkins,woman
Ed Sheeran,man
Berlin,man
The Cuff Links,band
Subway,band
The Trammps,band
Fastball,man
The Black Eyed Peas,band
Lou Rawls,man
Joni Mitchell,woman
The Proclaimers,band
Bad Bunny,man
Mystikal,man
Bob Lind,man
R. Dean Taylor,man
The Buckinghams,band
After The Fire,band
City High,band
Brs Kash,man
Simply Red,band
Drake,man
Da Brat,woman
A'Me Lorain,woman
Zayn,man
New York City,man
Donna Lewis,woman
Bubba Sparxxx,man
Digital Underground,band
Sir Mix-A-Lot,man
Martin Page,man
D12,band
Brownsville Station,band
Arcadia,band
Shawnna,woman
Diddy,man
Chesney Hawkes,man
Houston,man
Thomas Rhett,man
J-Weav,man
Mike Will Made-It,man
Tevin Campbell,man
Eddie Rabbitt,man
Tyrone Davis,man
The Doors,band
Motherlode,band
Victoria Monét,woman
Scritti Politti,band
Raphael Saadiq,man
Duncan Laurence,man
Green Jellÿ,band
Ambrosia,woman
White Lion,band
Tavares,band
Bipolar Sunshine,man
N Ii U,band
R. City,band
Fetty Wap,man
Gus Dapperton,man
Shaed,band
Jay Sean,man
Swing Out Sister,band
Brenton Wood,man
Monty,man
The Clash,band
The Delfonics,band
Jason Mraz,man
Mouth & Macneal,band
Nicolette Larson,woman
Avant,man
Christine Mcvie,woman
Polow Da Don,man
Tyler Collins,woman
Ella Mai,woman
Brandy,man
Leann Rimes,woman
The Fuzz,band
Warrant,band
Nick Cannon,man
Truth Hurts,woman
Dire Straits,band
Status Quo,band
Sa-Fire,woman
Kris Allen,man
Ini Kamoze,man
Duran Duran,band
Odyssey,man
Charlie Daniels Band,man
Four Tops,band
Corina,woman
Merril Bainbridge,woman
Jessi Colter,woman
Roddy Ricch,man
Asap Rocky,man
The Tubes,band
P. Diddy,man
Bow Wow,man
Ynw Melly,man
Falco,man
Rare Earth,band
The Stampeders,band
Tierra,band
Westlife,band
Bj The Chicago Kid,man
The Verve,band
Wizkid,man
Smith,band
Winger,band
Petey Pablo,man
Miranda Lambert,woman
Ms. Thing,woman
Amanda Perez,woman
Ray Stevens,man
Lionel Richie,man
Jerrod Niemann,man
The Four Seasons,band
Juvenile,man
Marvin Hamlisch,man
Khalid,man
Hot,band
Loleatta Holloway,woman
Cher Lloyd,woman
Love Unlimited,band
Samantha Fox,woman
Sheena Easton,woman
Arrested Development,man
Beenie Man,man
Luke Combs,man
Nivea,woman
Dr. Dre,man
Wale,man
The Four Tops,band
The Cover Girls,band
Hugh Masekela,man
Cheb Mami,man
Daryl Hall & John Oates,band
The Free Movement,band
England Dan & John Ford Coley,band
The Dells,band
The Stylistics,band
Xscape,band
Lorde,woman
The System,band
Lil Jon & The East Side Boyz,man
4 P.M.,band
Loreena Mckennitt,woman
Burton Cummings,man
Simple Minds,band
Dolly Parton,woman
Cherine Anderson,woman
Wang Chung,band
Jefferson Airplane,band
Roberta Flack,woman
Samantha Sang,woman
Justin Bieber,man
Nick Gilder,man
Dexys Midnight Runners,band
Strawberry Alarm Clock,band
Mr Hudson,man
Donell Jones,man
Brett Young,man
Raye,woman
Al Green,man
Nazareth,woman
20 Fingers,band
Luniz,band
Night Ranger,band
Boz Scaggs,man
Shawn Mullins,man
Elle King,woman
Sam Cooke,man
David Soul,man
Michael Jackson,man
T. Rex,band
Paul Davis,man
Queen,band
Maxi Priest,man
George Strait,man
Rhythm Heritage,band
Creed,band
Champaign,band
The Honeydrippers,band
Lukas Graham,band
A Flock Of Seagulls,band
King Harvest,band
All Saints,band
Paul Carrack,man
Lou Bega,man
The Surfaris,band
Fuel,man
Walter Egan,man
Murray Head,man
Cole Swindell,man
Bazzi,man
Dusty Springfield,woman
Trick Daddy,man
Glass Tiger,band
Eddie Kendricks,man
Bay City Rollers,band
Carla Thomas,woman
Colbie Caillat,woman
John Michael Montgomery,man
Latto,woman
Nine Days,band
Whitesnake,band
Tweet,woman
London Symphony Orchestra,man
Pilot,band
The Fortunes,band
Johnnie Taylor,man
Lou Gramm,man
Climax Blues Band,band
Kenny Nolan,man
Ohio Players,band
Busta Rhymes,man
John Fred & His Playboy Band,man
The Notorious B.I.G.,man
Kali Uchis,woman
Crispian St. Peters,man
B.T. Express,band
Wendy Fraser,woman
Powfu,man
Kiiara,woman
Alex Clare,man
Sugarloaf,band
Lifehouse,band
Level 42,band
Jagged Edge,band
Ghost Town Dj'S,band
Major Harris,man
The Pipkins,band
95 South,band
"Ray, Goodman & Brown",band
Will To Power,man
Pnb Rock,man
Joey Scarbury,man
Peaches & Herb,band
Percy Sledge,man
Alex Band,man
Toosii,man
Donna Summer,woman
The Strangeloves,band
C.J. & Company,band
Norah Jones,woman
2Pac,man
Brenda & The Tabulations,band
The Time,band
Justin Timberlake,man
The New Seekers,band
The Veronicas,band
Gucci Mane,man
The Standells,band
Beabadoobee,woman
Glenn Frey,man
Neil Diamond,man
The Dramatics,band
Gregory Abbott,man
Daya,woman
Peter Brown,man
Mary Macgregor,woman
Otis Redding,man
Tracy Chapman,woman
Dnce,band
Journey,band
Albert Hammond,man
The Allman Brothers Band,band
Glenn Yarbrough,man
Erick Sermon,man
Mø,woman
Snoop Doggy Dogg,man
Friend & Lover,band
69 Boyz,band
Lil Baby,man
Spandau Ballet,band
Inxs,band
Player,band
Los Bravos,band
Boston,man
The Dirt Band,band
Crazy Town,band
The Bellamy Brothers,band
Clean Bandit,band
The Pretenders,band
David Archuleta,man
Five Man Electrical Band,band
Shinedown,band
House Of Pain,band
Kent Jones,man
Onyx,band
Noah Kahan,man
Gary Numan,man
Foo Fighters,band
Edwin Starr,man
Panic! At The Disco,band
Sia,woman
Anita Baker,woman
702,band
Jack Jones,man
Diddy – Dirty Money,band
Amii Stewart,woman
The All-American Rejects,band
The Marvelettes,band
Alan Jackson,man
Cher,woman
The O'Kaysions,band
Lou Christie,man
Peter And Gordon,band
Peabo Bryson,man
Guns N' Roses,band
Restless Heart,band
Harold Melvin & The Blue Notes,band
Crystal Gayle,woman
Scorpions,band
Joe Cocker,man
Jimmy Page,man
Pink,woman
Athena Cage,woman
Chase Rice,man
Shakira,woman
Horst Jankowski,man
Atlanta Rhythm Section,band
Mike Oldfield,man
Hugo Montenegro,man
Kc And The Sunshine Band,band
John Mellencamp,man
Todd Rundgren,man
John Travolta,man
"10,000 Maniacs",band
The Chi-Lites,band
Nick Jonas,man
New Edition,band
Kim Wilde,woman
Linkin Park,band
Kid Cudi,man
Eagle-Eye Cherry,man
Puddle Of Mudd,band
Jermaine Jackson,man
Carrie Underwood,woman
Maureen Mcgovern,woman
Dishwalla,band
Shannon,woman
Ugk,band
Allure,band
Robert John,man
Lee Michaels,man
Corona,band
J. Cole,man
Alive N Kickin',band
Tq,man
Love Unlimited Orchestra,band
Michael Mcdonald,man
Sam Hunt,man
Jake Scott,man
Amerie,woman
The Byrds,band
Neil Young,man
Yung Berg,man
Ilovemakonnen,man
Robbie Dupree,man
Chris Montez,man
Carol Douglas,woman
Big Punisher,man
Meat Loaf,man
The Rolling Stones,band
Black Eyed Peas,band
The Mindbenders,band
King Floyd,man
Rick Ross,man
Jaheim,man
The Product G&B,band
Aaliyah,woman
Pooh Shiesty,man
Field Mob,band
Randy Houser,man
B.B. King,man
Mungo Jerry,band
Queen Latifah,woman
The Script,band
Steve Lacy,man
Dave Edmunds,man
The Bells,band
The Archies,band
Rachel Platten,woman
The Killers,band
Kip Moore,man
Passenger,man
Rose Royce,band
Silentó,man
Daniel Powter,man
The Buoys,band
Charlene,woman
Saving Abel,band
The Kinks,band
Charley Pride,man
Lil Mosey,man
Thompson Twins,band
Yes,band
Sisqó,man
Roy Head,man
Papa Roach,band
Avicii,man
Stories,band
Sérgio Mendes,man
Three Dog Night,band
Paul Mccoy,man
The Monkees,band
Huey,man
L.V.,man
Faith No More,band
Kacey Musgraves,woman
Michael Bublé,man
