name,gender
Deezle,man
Jim Jonsin,man
Lil Wayne,man
Magnolia Shorty,woman
Yung Miami,woman
Static Major,man
TrapMoneyBenny,man
Rex Zamor,unknown
Samantha Gongol,woman
Jeremy Lloyd,man
Jimmy Duval,man
Mala,man
ROJAS,man
Emma Lov Block,woman
Dahl,man
Jackson Foote,man
P!nk,woman
Ryan Nasci,man
Alex Salibian,man
Gamal Lewis,man
Robert McCurdy,unknown
Chris Petrosino,man
Asia Whiteacre,woman
Tyran Donaldson,man
Punch,unknown
Oren Yoel Kleinman,unknown
busbee,man
Danny Parker,man
Ben Abraham,man
Andrew Joslyn,man
Kesha,woman
Travis Mendes,man
Skip Marley,man
Ali Payami,man
Katy Perry,woman
Sia,woman
Christopher Breaux,man
Phil Shaouy,man
Terrace Martin,man
Diamond,woman
Christopher Henderson,man
Jonathan Lewis,man
Venetia Lewis,woman
James D. McCall,man
Tyjuan Peoples,man
Alphonce Smith,man
Jarques Usher,man
Ayo,woman
BLSSD,man
Jazze Pha,man
Jeremy Miller,man
Teo,man
Tyler Joseph,man
Kyle Schilenger,unknown
Trent Tomlinson,man
Fred Fairbrass,man
Richard Fairbrass,man
Robert Manzoli,man
William Earl Collins,man
Gary “Mudbone” Cooper,man
Sean Paul,man
Ina Wroldsen,woman
Kristoffer Eriksson,man
Fredrik Häggstam,man
Andrew Taggart,man
Alexander Kronlund,man
Alex Ben-Abdallah,man
Kurtis McKenzie,man
Jon Mills,man
Papa Dee Allen,man
Harold Brown,man
B.B. Dickerson,man
Ricardo “Rik Rok” Ducent,man
Brian Gold,man
Lonnie Jordan,man
Charles Miller,man
Lee Oskar,man
Liam Payne,man
Shaun Pizzonia,man
Howard E. Scott,man
Shaggy,man
Jeremih,man
Amaire Johnson,man
Smash David,man
Christian Ward,man
Thomas Bangalter,man
Éric Chédeville,man
Guy‐Manuel de Homem‐Christo,man
Joseph Angel,man
Fred Ball,man
Niall Horan,man
RuthAnne,woman
Alessia Cara,woman
Sebastian Kole,man
Pop Wansel,man
Kygo,man
Bobby Brackins,man
Carah Faye Charnow,woman
Benjamin Eli Hanna,unknown
Hayley Williams,woman
Jagvir Aujla,man
C.P Dubb,man
French Montana,man
McCulloch Reid Sutphin,unknown
JW Lucas,man
Bryan Simmons,man
Brody Brown,man
Zach Crowell,man
Shaun Frank,man
Freddy Kennett,man
Joe King,unknown
Isaac Slade,man
Jonny Buckland,man
Will Champion,man
Chris Martin,man
Guy Berryman,man
Daddy Yankee,man
Erika Ender,woman
Luis Fonsi,man
Marty James,man
Ewart Brown,man
Clifton Dillon,man
Lowell “Sly” Dunbar,man
Fetty Wap,man
Richard Foulks,man
Brian Garcia,man
Herbie Harris,man
Tory Lanez,man
Leroy Romans,man
Handel Tucker,man
Javalyn Hall,unknown
Mixzo,unknown
Bryson Tiller,man
Mike Busse,man
Barry Collins,man
Ben Collins,man
Brandon Lee,man
Andrew Cedar,man
Josh Hardy,man
Dann Hume,man
Phoebe Lou,unknown
Wiz Khalifa,man
MoZella,woman
Jesse Shatkin,man
Louis Tomlinson,man
Cool,unknown
Dre,man
Edsclusive,man
Fat Joe,man
Infa‐Red,unknown
Remy Ma,woman
Bill Withers,man
Noel Zancanella,man
Ido Zmishlany,man
Steve Guess,man
Jr Blender,man
MØ,woman
Gino Barletta,man
Scott Bruzenak,man
Britten Newbill,man
Grace Tandon,woman
Sevn Thomas,man
Timothy Mingo,man
Silentó,man
Joe London,man
Kiiara,woman
David Singer-Vine,man
Felix Snow,man
Noah Feldshuh,man
Casey Harris,man
Adam Levin,man
Sam Nelson,man
Mario Mims,man
Gordon Chambers,man
Nichole Gilbert,woman
Dave Hall,man
Autoro Whitfield,man
MeLo-X,man
Tove Lo,woman
Angel Luis Cosme,man
Brian Anthony Garcia,man
Justin H. Pope,man
kai,man
Thomas Brenneck,man
Lee Fields,man
Dave Guy,man
Leon Michels,man
Nick Movshon,man
Homer Steinweiss,man
Bryan Van Mierlo,man
WondaGurl,woman
Johan Carlsson,man
Ross Golan,man
Breyan Isaac,man
Matt Prime,man
Nate Cyphert,man
William Wiik Larsen,man
Arron Davey,unknown
Zara Larsson,woman
Paul Barry,man
James Bay,man
Caitlyn Smith,woman
Justin Weaver,man
Beenie Man,man
Donald Dennis,man
Gary Jackson,man
"Stephen ""Di Genius"" McGregor",man
Garfield Riley,unknown
Patrick Roberts,man
Supa Dups,man
Andrew Thomas,man
Sammy Blues,man
Bobby Brass,man
Isaac Hayes,man
Terence Lam,man
Flo Rida,man
Roy C. Hammond,man
Maneesh Bidaye,man
Andrew Hershey,man
Adam Martin,man
Nineteen85,man
Popcaan,man
Mason Levy,man
Mano,man
Johntá Austin,man
Isom Brandon Stewart,man
Vory,man
ROZES,woman
King Henry,man
Jamie Scott,man
Nick Valentino Audino,man
Prince Charlez,man
Lewis One,man
Derrus Rachel,unknown
Khaled Rohaim,man
Te Whiti Warbrick,unknown
Lukas Forchhammer,man
Stefan Forrest,man
David Labrel,man
Pilo,man
Joe Garrett,man
Anthony Hannides,man
Michael Hannides,man
Levi Lennox,man
ZAYN,man
Christoph Andersson,man
Lauren Christy,woman
Keenan,man
Calvin Harris,man
DallasK,man
Jude Demorest,woman
Mike Posner,man
Timmy Thomas,man
Daniel Kyriakides,man
Desiigner,man
Adnan Khan,man
Kyla,woman
Luke Reid,unknown
Errol Reid,unknown
Monte Moir,man
PARTYNEXTDOOR,man
Skrillex,man
Jakob Jerlström,man
Ludvig Söderberg,man
Duvall,unknown
Gavin Koolmon,man
Luke Mac,man
Jahmar Carter,unknown
Ella Henderson,woman
Conesha Owens,woman
Dawn Robinson,woman
Mitch Allan,man
Kara DioGuardi,woman
Audra Mae,woman
George Ezra,man
Joel Pott,man
Dallas Davidson,man
Darian Asplund,man
Budo,man
Evan Flory-Barnes,man
Tim Haggerty,man
Jake One,man
Macklemore,man
Eric Nally,man
Josh Rawlings,man
Elvin Smith,unknown
Suzanne Collins,woman
Andrew Swanson,man
Geoffrey Earley,man
Trey Songz,man
Carl Falk,man
Giorgio Tuinfort,man
Bizzy Bone,man
Kevin Cossom,man
Andre Davidson,man
Sean Davidson,man
Alex Delicata,man
Diddy,man
Anthony Henderson,man
Layzie Bone,man
Mr. Morris,unknown
Stevie J,man
Vance Joy,man
George Astasio,man
Iggy Azalea,woman
Roman GianArthur Irvin,man
Nana Kwabena,man
Jason Pebworth,unknown
